epsilon,objective_type,system_cost_billion,social_acceptance_index,co2_emissions_mt,total_heat_generation_twh,cap_air_hp_Metropolitan_mw,cap_air_hp_Suburban_mw,cap_air_hp_Rural-Dense_mw,cap_air_hp_Rural-Sparse_mw,cap_air_hp_Industrial_mw,cap_air_hp_gw,cap_dh_large_hp_Metropolitan_mw,cap_dh_large_hp_Suburban_mw,cap_dh_large_hp_Rural-Dense_mw,cap_dh_large_hp_Rural-Sparse_mw,cap_dh_large_hp_Industrial_mw,cap_dh_large_hp_gw,cap_gas_boiler_Metropolitan_mw,cap_gas_boiler_Suburban_mw,cap_gas_boiler_Rural-Dense_mw,cap_gas_boiler_Rural-Sparse_mw,cap_gas_boiler_Industrial_mw,cap_gas_boiler_gw,cap_h2_boiler_Metropolitan_mw,cap_h2_boiler_Suburban_mw,cap_h2_boiler_Rural-Dense_mw,cap_h2_boiler_Rural-Sparse_mw,cap_h2_boiler_Industrial_mw,cap_h2_boiler_gw,cap_biomass_boiler_Metropolitan_mw,cap_biomass_boiler_Suburban_mw,cap_biomass_boiler_Rural-Dense_mw,cap_biomass_boiler_Rural-Sparse_mw,cap_biomass_boiler_Industrial_mw,cap_biomass_boiler_gw,cap_tes_Metropolitan_mwh,cap_tes_Suburban_mwh,cap_tes_Rural-Dense_mwh,cap_tes_Rural-Sparse_mwh,cap_tes_Industrial_mwh,cap_tes_gwh,gen_air_hp_Metropolitan_twh,gen_air_hp_Suburban_twh,gen_air_hp_Rural-Dense_twh,gen_air_hp_Rural-Sparse_twh,gen_air_hp_Industrial_twh,gen_air_hp_twh,gen_dh_large_hp_Metropolitan_twh,gen_dh_large_hp_Suburban_twh,gen_dh_large_hp_Rural-Dense_twh,gen_dh_large_hp_Rural-Sparse_twh,gen_dh_large_hp_Industrial_twh,gen_dh_large_hp_twh,gen_gas_boiler_Metropolitan_twh,gen_gas_boiler_Suburban_twh,gen_gas_boiler_Rural-Dense_twh,gen_gas_boiler_Rural-Sparse_twh,gen_gas_boiler_Industrial_twh,gen_gas_boiler_twh,gen_h2_boiler_Metropolitan_twh,gen_h2_boiler_Suburban_twh,gen_h2_boiler_Rural-Dense_twh,gen_h2_boiler_Rural-Sparse_twh,gen_h2_boiler_Industrial_twh,gen_h2_boiler_twh,gen_biomass_boiler_Metropolitan_twh,gen_biomass_boiler_Suburban_twh,gen_biomass_boiler_Rural-Dense_twh,gen_biomass_boiler_Rural-Sparse_twh,gen_biomass_boiler_Industrial_twh,gen_biomass_boiler_twh,co2_direct_Metropolitan_mt,co2_direct_Suburban_mt,co2_direct_Rural-Dense_mt,co2_direct_Rural-Sparse_mt,co2_direct_Industrial_mt,cost_Metropolitan_billion,cost_Suburban_billion,cost_Rural-Dense_billion,cost_Rural-Sparse_billion,cost_Industrial_billion,co2_cap_mt
0.0,co2_cap_0.5,21.766865752163163,1.095642418353219,0.0,451.9022905434313,11097.804990333225,2783.77120032453,17170.573346526417,8917.707586506494,6255.421096227869,46.225278219918536,10485.444014049339,795.3500731265553,0.0,0.0,0.0,11.280794087175893,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,286.5563061095876,-0.0,-0.0,-0.0,0.2865563061095876,69407.2893378732,14568.55093909332,55217.03206581829,28677.513314215204,20116.14756740115,187.98653322440114,97.2167717153191,24.38583571484292,134.1177416997899,69.65537949746388,48.860508841251296,374.23623746866707,71.41658546148813,5.378161769787936,0.0,0.0,0.0,76.79474723127606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8713058434881663,0.0,0.0,0.0,0.8713058434881663,0.0,0.0,0.0,0.0,0.0,2.7031170919292133,0.513029604988845,2.1213098336063245,1.0967160957494408,0.7587661235320088,0.5
0.0,co2_cap_1.0,21.766865752163163,1.095642418353219,0.0,451.9022905434313,11097.804990333225,2783.77120032453,17170.573346526417,8917.707586506494,6255.421096227869,46.225278219918536,10485.444014049339,795.3500731265553,0.0,0.0,0.0,11.280794087175893,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,286.5563061095876,-0.0,-0.0,-0.0,0.2865563061095876,69407.2893378732,14568.55093909332,55217.03206581829,28677.513314215204,20116.14756740115,187.98653322440114,97.2167717153191,24.38583571484292,134.1177416997899,69.65537949746388,48.860508841251296,374.23623746866707,71.41658546148813,5.378161769787936,0.0,0.0,0.0,76.79474723127606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8713058434881663,0.0,0.0,0.0,0.8713058434881663,0.0,0.0,0.0,0.0,0.0,2.7031170919292133,0.513029604988845,2.1213098336063245,1.0967160957494408,0.7587661235320088,1.0
0.0,co2_cap_2.0,21.766865752163163,1.095642418353219,0.0,451.9022905434313,11097.804990333225,2783.77120032453,17170.573346526417,8917.707586506494,6255.421096227869,46.225278219918536,10485.444014049339,795.3500731265553,0.0,0.0,0.0,11.280794087175893,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,286.5563061095876,-0.0,-0.0,-0.0,0.2865563061095876,69407.2893378732,14568.55093909332,55217.03206581829,28677.513314215204,20116.14756740115,187.98653322440114,97.2167717153191,24.38583571484292,134.1177416997899,69.65537949746388,48.860508841251296,374.23623746866707,71.41658546148813,5.378161769787936,0.0,0.0,0.0,76.79474723127606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8713058434881663,0.0,0.0,0.0,0.8713058434881663,0.0,0.0,0.0,0.0,0.0,2.7031170919292133,0.513029604988845,2.1213098336063245,1.0967160957494408,0.7587661235320088,2.0
0.0,co2_cap_5.0,21.766865752163163,1.095642418353219,0.0,451.9022905434313,11097.804990333225,2783.77120032453,17170.573346526417,8917.707586506494,6255.421096227869,46.225278219918536,10485.444014049339,795.3500731265553,0.0,0.0,0.0,11.280794087175893,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,286.5563061095876,-0.0,-0.0,-0.0,0.2865563061095876,69407.2893378732,14568.55093909332,55217.03206581829,28677.513314215204,20116.14756740115,187.98653322440114,97.2167717153191,24.38583571484292,134.1177416997899,69.65537949746388,48.860508841251296,374.23623746866707,71.41658546148813,5.378161769787936,0.0,0.0,0.0,76.79474723127606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8713058434881663,0.0,0.0,0.0,0.8713058434881663,0.0,0.0,0.0,0.0,0.0,2.7031170919292133,0.513029604988845,2.1213098336063245,1.0967160957494408,0.7587661235320088,5.0
0.0,co2_cap_10.0,21.766865752163163,1.095642418353219,0.0,451.9022905434313,11097.804990333225,2783.77120032453,17170.573346526417,8917.707586506494,6255.421096227869,46.225278219918536,10485.444014049339,795.3500731265553,0.0,0.0,0.0,11.280794087175893,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,286.5563061095876,-0.0,-0.0,-0.0,0.2865563061095876,69407.2893378732,14568.55093909332,55217.03206581829,28677.513314215204,20116.14756740115,187.98653322440114,97.2167717153191,24.38583571484292,134.1177416997899,69.65537949746388,48.860508841251296,374.23623746866707,71.41658546148813,5.378161769787936,0.0,0.0,0.0,76.79474723127606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8713058434881663,0.0,0.0,0.0,0.8713058434881663,0.0,0.0,0.0,0.0,0.0,2.7031170919292133,0.513029604988845,2.1213098336063245,1.0967160957494408,0.7587661235320088,10.0
